Product ID;Product Position;Promotion;Product Category;Seasonal;Sales Volume;brand;url;sku;name;description;price;currency;scraped_at;terms;section
185102.0;Aisle;No;clothing;No;2823.0;Zara;https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html;272145190-250-2;      BASIC PUFFER JACKET      ;Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.;19.99;USD;2024-02-19T08:50:05.654618;jackets;MAN
188771.0;Aisle;No;CLOTHNG;No;654.0;Zara;https://www.zara.com/us/en/tuxedo-jacket-p08896675.html;324052738-800-46;      TUXEDO JACKET      ;Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.;169.0;USD;2024-02-19T08:50:06.590930;jackets;MAN
180176.0;End-cap;Yes;Clothng;Yes;2220.0;Zara;https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html;335342680-800-44;      SLIM FIT SUIT JACKET      ;Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;129.0;USD;2024-02-19T08:50:07.301419;jackets;MAN
112917.0;Aisle;Yes;clothing;Yes;1568.0;Zara;https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html;328303236-420-44;      STRETCH SUIT JACKET      ;Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;129.0;USD;2024-02-19T08:50:07.882922;jackets;MAN
192936.0;End-cap;No;CLOTHNG;Yes;2942.0;Zara;https://www.zara.com/us/en/double-faced-jacket-p08281477.html;312368260-800-2;      DOUBLE FACED JACKET      ;Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.;139.0;USD;2024-02-19T08:50:08.453847;jackets;MAN
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
182157.0;Aisle;No;Clothng;No;-1.0;Zara;https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html;322972485-431-46;      SUIT JACKET IN 100% LINEN      ;Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;159.0;USD;2024-02-19T08:50:10.200777;jackets;MAN
141861.0;Aisle;Yes;Clothng;Yes;1916.0;Zara;https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html;313854165-401-46;      100% WOOL SUIT JACKET      ;Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;169.0;USD;2024-02-19T08:50:10.880741;jackets;MAN
;;;;;;;;;;;;;;;
